No.,Time,PM2.5 [ug/m3] - _zone_1,PM2.5 [ug/m3] - _zone_2,PM2.5 [ug/m3] - _zone_3,PM2.5 [ug/m3] - _zone_4,PM2.5 [ug/m3] - _zone_5,PM2.5 [ug/m3] - _zone_6,PM2.5 [ug/m3] - _zone_7
154,1/7 03:00:00 Sat,14.0509557723999,14.9687395095825,14.9642724990845,14.9648199081421,13.7547044754028,14.9648056030273,14.9619998931885
155,1/7 04:00:00 Sat,13.430326461792,13.0232133865356,13.0342531204224,13.0260915756226,13.4850444793701,13.0268592834473,13.0319490432739
156,1/7 05:00:00 Sat,13.6178894042969,13.9873495101929,13.9818449020386,13.9857187271118,13.6388282775879,13.9867038726807,13.9870386123657
157,1/7 06:00:00 Sat,12.1640701293945,11.0394926071167,11.0507173538208,11.0444488525391,12.3217039108276,11.043851852417,11.0463953018188
158,1/7 07:00:00 Sat,11.2881059646606,11.0012559890747,11.0065040588379,11.001482963562,11.2780981063843,11.0007190704346,11.0000419616699
159,1/7 08:00:00 Sat,12.5874624252319,13.9669275283813,13.916431427002,13.9624633789063,12.7609262466431,13.9694919586182,13.9753246307373
160,1/7 09:00:00 Sat,13.9609203338623,14.9853229522705,14.9834804534912,14.9833498001099,14.2508583068848,14.9840135574341,14.9836282730103
161,1/7 10:00:00 Sat,14.7092456817627,14.9984064102173,15,14.9981679916382,14.8162593841553,14.9980611801147,14.9977331161499
162,1/7 11:00:00 Sat,15.595103263855,15.9854764938354,15.9836549758911,15.9836730957031,15.549201965332,15.9837636947632,15.9825210571289
163,1/7 12:00:00 Sat,17.4764041900635,17.988956451416,17.917329788208,17.9875335693359,17.1567707061768,17.9883937835693,17.9873065948486
164,1/7 13:00:00 Sat,19.8922367095947,21.9479427337646,21.9258842468262,21.9411869049072,19.7578601837158,21.9449310302734,21.9458065032959
165,1/7 14:00:00 Sat,20.0740509033203,19.0347518920898,19.0563640594482,19.0392589569092,20.0234565734863,19.036283493042,19.0348777770996
166,1/7 15:00:00 Sat,18.6292190551758,18.0202674865723,18.0266284942627,18.0228729248047,18.4724864959717,18.0218353271484,18.0222148895264
167,1/7 16:00:00 Sat,18.6756477355957,18.985782623291,18.978796005249,18.9839687347412,18.7083988189697,18.9850311279297,18.9853191375732
168,1/7 17:00:00 Sat,18.9411449432373,18.999532699585,18.999849319458,18.9994659423828,18.963794708252,18.9994487762451,18.9993743896484
169,1/7 18:00:00 Sat,19.9352970123291,20.9749870300293,20.9663772583008,20.9717102050781,20.0087566375732,20.9734306335449,20.9737243652344
170,1/7 19:00:00 Sat,18.2234687805176,16.0639209747314,16.087308883667,16.0721874237061,18.0857162475586,16.0677127838135,16.0668163299561
171,1/7 20:00:00 Sat,13.5568284988403,12.0587120056152,12.0632362365723,12.0659894943237,13.8124437332153,12.0658321380615,12.0713624954224
172,1/7 21:00:00 Sat,13.2878894805908,13.9791078567505,13.9683666229248,13.9763927459717,13.3720865249634,13.978084564209,13.9787435531616
173,1/7 22:00:00 Sat,14.5986261367798,15.9798965454102,15.968900680542,15.9772710800171,14.6647081375122,15.9791164398193,15.9788274765015
174,1/7 23:00:00 Sat,17.5556812286377,18.9603939056396,18.9552669525146,18.9553890228271,17.2795372009277,18.9547672271729,18.950511932373
175,1/7 24:00:00 Sat,17.4805488586426,17.0200290679932,17.0288143157959,17.0224952697754,17.5640163421631,17.0229454040527,17.0254077911377
176,1/8 00:00:00 Sun,17.4805488586426,17.0200290679932,17.0288143157959,17.0224952697754,17.5640163421631,17.0229454040527,17.0254077911377
177,1/8 01:00:00 Sun,14.160608291626,13.0485048294067,13.0574407577515,13.0545310974121,14.5240821838379,13.053915977478,13.057505607605
178,1/8 02:00:00 Sun,11.6975803375244,11.0241394042969,11.0282125473022,11.0271759033203,11.9408798217773,11.0271902084351,11.0293169021606
179,1/8 03:00:00 Sun,13.3818864822388,14.9576454162598,14.9430541992188,14.9521074295044,13.4344005584717,14.9550666809082,14.9556436538696
180,1/8 04:00:00 Sun,14.6137819290161,14.9985990524292,15,14.9983263015747,14.6721687316895,14.9980220794678,14.9974489212036
181,1/8 05:00:00 Sun,13.4412965774536,12.0276679992676,12.0720720291138,12.0314950942993,13.228856086731,12.024998664856,12.0201959609985
182,1/8 06:00:00 Sun,12.1760845184326,12.0000009536743,12.0058822631836,12.0000009536743,12.1830062866211,12.0000009536743,12
183,1/8 07:00:00 Sun,9.46049404144287,8.0289421081543,8.09683132171631,8.03256320953369,9.81588649749756,8.02889156341553,8.02614974975586
184,1/8 08:00:00 Sun,9.24422073364258,9.9831018447876,9.9720516204834,9.98093414306641,9.39185428619385,9.98264122009277,9.98282146453857
185,1/8 09:00:00 Sun,9.88112735748291,9.99888896942139,10.0000009536743,9.99873733520508,9.86837291717529,9.99845218658447,9.99795722961426
186,1/8 10:00:00 Sun,11.0326299667358,11.9794845581055,11.9704494476318,11.9767293930054,11.0029935836792,11.9779653549194,11.9779787063599
187,1/8 11:00:00 Sun,9.38609886169434,8.04759883880615,8.06057929992676,8.05356597900391,9.5822696685791,8.05294418334961,8.05613994598389
188,1/8 12:00:00 Sun,7.70677757263184,7.01307487487793,7.01588678359985,7.01483583450317,7.79800701141357,7.01420211791992,7.01446771621704
189,1/8 13:00:00 Sun,6.69807577133179,6.0143461227417,6.01651239395142,6.01623392105103,6.66364526748657,6.01543664932251,6.01556634902954
190,1/8 14:00:00 Sun,6.08830976486206,6.00146579742432,6,6.00165176391602,6.10723257064819,6.00185108184814,6.00228595733643
191,1/8 15:00:00 Sun,4.96408319473267,4.02590322494507,4.03489065170288,4.02927350997925,4.97308921813965,4.02741718292236,4.02698850631714
192,1/8 16:00:00 Sun,5.33752727508545,5.97482252120972,5.96605062484741,5.97167587280273,5.26492738723755,5.97235250473022,5.97114849090576
193,1/8 17:00:00 Sun,4.22703838348389,3.03154540061951,3.04938840866089,3.03550291061401,4.44855070114136,3.03500485420227,3.03801083564758
194,1/8 18:00:00 Sun,3.77900958061218,3.99086689949036,3.98361539840698,3.98971819877625,3.9012713432312,3.9907820224762,3.9915771484375
195,1/8 19:00:00 Sun,3.50995779037476,3.01022839546204,3.01621174812317,3.01151752471924,3.49658823013306,3.01066160202026,3.01026916503906
196,1/8 20:00:00 Sun,4.78846597671509,6.95974016189575,6.93524312973022,6.95464944839478,5.13633728027344,6.95827960968018,6.96018695831299
197,1/8 21:00:00 Sun,6.47292566299438,6.99781847000122,7,6.99752902984619,6.58059549331665,6.99709129333496,6.99628305435181
198,1/8 22:00:00 Sun,6.40176916122437,6.00976800918579,6.01595163345337,6.01099348068237,6.41133213043213,6.01011085510254,6.00963449478149
199,1/8 23:00:00 Sun,6.06167221069336,6.00034618377686,6,6.00039100646973,6.11085796356201,6.00085353851318,6.00138854980469
200,1/8 24:00:00 Sun,5.46713829040527,5.0100302696228,5.01567077636719,5.01129388809204,5.58987474441528,5.01051139831543,5.01021003723145
201,1/9 00:00:00 Mon,5.46713829040527,5.0100302696228,5.01567077636719,5.01129388809204,5.58987474441528,5.01051139831543,5.01021003723145
202,1/9 01:00:00 Mon,5.08782529830933,5.00036382675171,5.00000047683716,5.00041246414185,5.15150737762451,5.00048542022705,5.00062036514282
203,1/9 02:00:00 Mon,4.6154408454895,4.00969266891479,4.01574468612671,4.0109224319458,4.4699239730835,4.00999402999878,4.00948429107666
204,1/9 03:00:00 Mon,3.75249457359314,3.01075863838196,3.01560115814209,3.01210236549377,3.52102732658386,3.01151180267334,3.01152849197388
205,1/9 04:00:00 Mon,4.70791101455688,4.99249267578125,4.92819023132324,4.99152612686157,4.43224954605103,4.99215745925903,4.9901270866394
206,1/9 05:00:00 Mon,4.99922132492065,5.00000047683716,4.99914503097534,5.00000047683716,4.97781705856323,5.00000047683716,5.00000047683716
207,1/9 06:00:00 Mon,12.1929950714111,12.9751996994019,12.7400598526001,12.9719753265381,11.3249416351318,12.9741525650024,12.9653062820435
208,1/9 07:00:00 Mon,6.66011095046997,6.02243375778198,6.18537187576294,6.02531576156616,7.21016788482666,6.02342176437378,6.03031396865845
209,1/9 08:00:00 Mon,8.09152603149414,8.97706604003906,8.94558715820313,8.97424507141113,8.11086940765381,8.9770975112915,8.97931385040283
210,1/9 09:00:00 Mon,5.69074249267578,5.01822519302368,5.09994316101074,5.02052640914917,6.04573059082031,5.01915645599365,5.0210165977478
